#Network | Station | Latitude | Longitude | Elevation | SiteName | StartTime | EndTime 
EM|MEY62|46.979|-67.878|226.7|Willard Brook, ME, USA|2017-06-30T17:26:58.0000|2017-07-13T05:10:55.0000
EM|MEZ60|46.816|-69.706|313.3|Depot Stream, ME, USA|2017-07-12T18:52:26.0000|2017-07-25T15:35:05.0000
EM|MEZ61|46.652|-68.832|294.6|Pratt Lake, ME, USA|2017-06-28T20:15:32.0000|2017-07-14T15:28:11.0000
EM|MEZ62|46.523|-68.189|211.8|Big Cove, ME, USA|2017-05-30T18:53:37.0000|2017-06-28T14:28:38.0000
EM|MIC40|47.914001|-89.149002|229.0|Isle Royale, MI, USA|2013-06-18T19:07:58.0000|2013-07-17T15:59:18.0000
EM|MIC41|47.432|-87.762|244.2|Schlatter Creek, MI, USA|2012-08-19T19:13:02.0000|2012-09-17T16:03:43.0000
EM|MID41|47.009|-88.488|184.7|Keweenaw Bay, MI, USA|2012-08-27T21:24:05.0000|2012-09-17T19:04:56.0000
EM|MID44|46.647|-85.488|221.5|Chris Brown Lake, MI, USA|2012-08-14T18:57:12.0000|2012-09-10T00:54:01.0000
EM|MID45|46.478001|-84.685997|190.0|Whitefish Bay, MI, USA|2013-07-20T15:27:10.0000|2013-08-14T17:05:18.0000
EM|MIE40|46.485001|-89.723|428.1|Preque River, MI, USA|2011-09-23T17:52:27.0000|2011-10-27T18:43:33.0000
EM|MIE41|46.279|-88.578|449.8|Porter Creek, MI, USA|2012-08-13T22:04:22.0000|2012-09-18T13:29:59.0000
EM|MIE42|46.285|-87.73|409.3|Clear Creek, MI, USA|2012-08-16T18:01:13.0000|2012-09-02T04:31:47.0000
EM|MIE43|46.244|-86.87|242.2|Trout Lake, MI, USA|2012-08-17T16:30:04.0000|2012-09-16T13:26:58.0000
EM|MIE44|46.163|-85.837|209.1|Hempfield Lake, MI, USA|2012-08-15T17:03:53.0000|2012-09-05T11:28:31.0000
EM|MIE45|46.056|-84.999001|227.9|Hiawatha Forest, MI, USA|2013-08-16T19:18:32.0000|2013-08-29T18:27:26.0000
EM|MIE46|45.966|-84.021004|203.6|Lake Superior Forest, MI, USA|2013-08-16T14:15:35.0000|2013-09-05T18:43:22.0000
EM|MIF43|45.697|-87.123|188.0|Portage Point, MI, USA|2012-08-26T19:35:55.0000|2012-09-14T20:12:51.0000
EM|MIF44|45.604|-85.596001|208.5|Beaver Island, MI, USA|2013-08-22T17:21:47.0000|2013-08-30T16:14:26.0000
